sector,n,expected_total_loss,VaR95,TailVaR95,safety_share_expected_loss,largest_mean_loss_channel,largest_top1pct_loss_channel,safety_share_top1pct,evidence_class
digital infrastructure,100000,2.520884019995139,5.102558954090016,8.664608443330078,0.029529758308724494,cyber,safety,0.4060100430539409,SYNTHETIC MONTE CARLO DEMONSTRATION
manufacturing,100000,2.826663748970714,5.742713809675917,10.422634059394419,0.04079977910531494,cyber,safety,0.49147758862183916,SYNTHETIC MONTE CARLO DEMONSTRATION
substation,100000,3.1254893717088574,6.354239616612764,11.83456746703023,0.04120835686147806,cyber,safety,0.4709785041896606,SYNTHETIC MONTE CARLO DEMONSTRATION
rail/traffic,100000,3.016198400097473,6.122808718375692,11.608678339531156,0.0484708496106495,cyber,safety,0.5374310556127699,SYNTHETIC MONTE CARLO DEMONSTRATION
hospital,100000,3.285422132646411,6.717127066055756,12.75779997514247,0.043714883631728554,cyber,safety,0.4875898536909664,SYNTHETIC MONTE CARLO DEMONSTRATION
water treatment,100000,3.1726581331487553,6.474306231626356,12.552714519928667,0.04721447800716031,cyber,safety,0.507468715654347,SYNTHETIC MONTE CARLO DEMONSTRATION
